Open time,Open,High,Low,close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1/1/2018,13715.65,13818.55,12750,13380,8609.915844,00:00.0,114799747.44197056,105595,3961.938946,52809747.44038045,0
1/2/2018,13382.16,15473.49,12890.02,14675.11,20078.09211,00:00.0,279717107.4337192,177728,11346.32674,158080088.68331683,0
1/3/2018,14690,15307.56,14150,14919.51,15905.66764,00:00.0,236116868.33619007,162787,8994.953566,133587333.24534808,0
1/4/2018,14919.51,15280,13918.04,15059.54,21329.64957,00:00.0,312781583.79830784,170310,12680.81295,186116793.0115893,0
1/5/2018,15059.56,17176.24,14600,16960.39,23251.49113,00:00.0,369321956.4868375,192969,13346.62229,211829900.67898223,0
1/6/2018,16960.39,17143.13,16011.21,17069.79,18571.45751,00:00.0,309216920.9864104,158242,11007.16406,183417769.0623772,0
1/7/2018,17069.79,17099.96,15610,16150.03,12493.12556,00:00.0,206194706.37068355,120269,6779.320508,112151163.1274352,0
1/8/2018,16218.85,16322.3,12812,14902.54,26600.60991,00:00.0,396569997.15746266,208642,13756.84439,206049582.13668823,0
1/9/2018,14902.54,15500,14011.05,14400,14315.00425,00:00.0,210630187.45766863,156656,6841.233287,100698572.9000214,0
1/10/2018,14401,14955.66,13131.31,14907.09,17411.00166,00:00.0,244011366.8,161476,8529.554675,119570139.80645348,0
1/11/2018,14940,14968.68,11400,13238.78,33554.72375,00:00.0,446587594.6937379,239416,16422.01998,218762237.37910992,0
1/12/2018,13238.76,14109.78,12500,13740.01,16417.16214,00:00.0,222516076.27145907,134452,8117.312075,110040020.2,0
1/13/2018,13749.95,14580,13706.15,14210,12221.50853,00:00.0,173086488.54788405,123639,5574.178408,78958098.95,0
1/14/2018,14210,14339.5,12569.2,13474.99,17017.89433,00:00.0,226525305.12938112,152364,8288.382911,110381556.67259862,0
1/15/2018,13477.98,14249.99,13147.79,13539.93,14652.09471,00:00.0,200614554.5,145362,7431.063272,101748315.63707082,0
1/16/2018,13500,13542.93,9035,10900,63401.16918,00:00.0,722150828.1494024,418243,30353.40172,346777069.9337464,0
1/17/2018,10899.99,11680.99,9037.94,10988.79,72331.79665,00:00.0,744154180.1312059,517293,35412.79814,365047291.4303791,0
1/18/2018,10972.59,11878.82,10435.33,10961.97,48464.43494,00:00.0,541289614.0584047,393112,23814.38285,266091805.66522688,0
1/19/2018,10960,11795,10360,11474.98,34129.37542,00:00.0,382773499.2265792,273271,16871.41636,189259676.8922224,0
1/20/2018,11474.98,13099,11412.45,12799.94,28768.85783,00:00.0,358561107.78097045,251647,14389.19601,179183657.90470728,0
1/21/2018,12799.8,12799.8,10965,11530,41379.77343,00:00.0,485289230.8188924,360207,20574.76006,241154449.9818349,0
1/22/2018,11530,11926.35,9900.24,10760.05,43752.60679,00:00.0,475716514.20869696,363264,21300.57583,231677479.1,0
1/23/2018,10760.05,11399,9905,10799.18,37473.92255,00:00.0,399419413.2329807,355286,18747.79383,199899519.2732997,0
1/24/2018,10799.14,11570.48,10500,11349.99,27158.58776,00:00.0,299470607.4302002,293429,13087.39309,144335221.62540215,0
1/25/2018,11349.96,11794.05,10950.21,11175.27,20839.95418,00:00.0,236081364.97365227,221040,10201.38692,115584688.24733494,0
1/26/2018,11184.7,11643,10311.15,11089,33056.87196,00:00.0,360482470.17375433,314720,15330.78955,167328952.39330244,0
1/27/2018,11089,11650,10842.69,11491,18860.76835,00:00.0,212663199.53348225,207478,9208.937963,103935891.79616304,0
1/28/2018,11499.98,12244,11408,11879.95,16887.33952,00:00.0,200211582.9434541,206247,7342.786997,87011013.83,0
1/29/2018,11879.95,11975.02,11139.55,11251,14170.37754,00:00.0,162110154.87880376,169199,6016.496871,68819972.52308752,0
1/30/2018,11250.11,11308.42,9900,10237.51,25554.37295,00:00.0,268978329.50861526,259212,11388.09642,119864289.07103088,0
1/31/2018,10230,10425.85,9700,10285.1,18015.95681,00:00.0,181644207.11316264,201422,8782.584442,88609272.64228792,0
2/1/2018,10285.1,10335,8750.99,9224.52,33564.76431,00:00.0,317636345.9843711,316020,15430.00385,146130725.8704748,0
2/2/2018,9224.52,9250,8010.02,8873.03,49971.62698,00:00.0,434236483.7044874,453411,23113.50358,201292749.5150992,0
2/3/2018,8873.03,9473.01,8229,9199.96,28725.00074,00:00.0,256834729.0599109,327519,14182.83815,127068644.49604894,0
2/4/2018,9199.96,9368,7930,8184.81,32014.30845,00:00.0,274912288.4,356134,13805.29579,118884553.20936234,0
2/5/2018,8179.99,8382.8,6625,6939.99,63403.18258,00:00.0,471166218.7134473,533510,29857.35839,222022401.0169236,0
2/6/2018,6939.63,7878,6000.01,7652.14,100201.5003,00:00.0,684364276.3666689,785996,49565.02079,339117633.4088549,0
2/7/2018,7655.02,8476,7150.01,7599,60778.4605,00:00.0,477935038.8117769,514893,30084.83627,237137973.4531389,0
2/8/2018,7599,7844,7572.09,7784.02,1521.537318,28:14.8,11770168.04386595,12417,844.258813,6532638.638,0
2/9/2018,7789.9,8738,7789.9,8683.92,20482.91083,00:00.0,173348469.81187892,273091,10404.04079,88117562.12096503,0
2/10/2018,8683.93,9065.78,8120,8533.98,49381.51265,00:00.0,423411421.9,537578,24506.72329,210253734.3806545,0
2/11/2018,8533.99,8549,7726.53,8063.88,45025.18795,00:00.0,366966437.2498885,524626,23180.34192,188849914.3499584,0
2/12/2018,8063.82,8989,8053,8903,41987.85049,00:00.0,362440826.9943769,477660,20916.94974,180528457.55458465,0
2/13/2018,8903,8950,8351,8539.9,35454.97296,00:00.0,305165143.6969234,401893,16558.45568,142530987.43930227,0
2/14/2018,8535.17,9489.6,8533,9449.99,40811.95287,00:00.0,370126692.7,514897,20508.46344,185896385.02591047,0
2/15/2018,9449.98,10219.5,9301.5,10000.09,52427.59672,00:00.0,512388484.73178285,608349,25805.09889,252255267.88356847,0
